lemme,cgram,genre,freqlem,forms
amuser,VER,,133.226,"amuser, amusé/amusée (amusant)"
mentir,VER,,131.908,"mentir, menti (mentant)"
intéresser,VER,,131.424,"intéresser, intéressé/intéressée (intéressant)"
tromper,VER,,128.374,"tromper, trompé/trompée (trompant)"
réussir,VER,,127.992,"réussir, réussi/réussie (réussissant)"
sauter,VER,,127.654,"sauter, sauté/sautée (sautant)"
utiliser,VER,,126.868,"utiliser, utilisé/utilisée (utilisant)"
terminer,VER,,125.428,"terminer, terminé/terminée (terminant)"
rêver,VER,,125.042,"rêver, rêvé/rêvée (rêvant)"
traverser,VER,,123.68,"traverser, traversé/traversée (traversant)"
habiter,VER,,121.98,"habiter, habité/habitée (habitant)"
jurer,VER,,121.75,"jurer, juré/jurée (jurant)"
danser,VER,,119.44400000000002,"danser, dansé/dansée (dansant)"
calmer,VER,,119.152,"calmer, calmé/calmée (calmant)"
abandonner,VER,,117.902,"abandonner, abandonné/abandonnée (abandonnant)"
naître,VER,,117.394,"naître, né/née (naissant)"
oser,VER,,116.336,"oser, osé/osée (osant)"
souffrir,VER,,116.00200000000001,"souffrir, souffert/soufferte (souffrant)"
assurer,VER,,115.246,"assurer, assuré/assurée (assurant)"
mener,VER,,114.996,"mener, mené/menée (menant)"
apercevoir,VER,,113.98000000000002,"apercevoir, aperçu/aperçue (apercevant)"
craindre,VER,,113.78800000000001,"craindre, craint/crainte (craignant)"
serrer,VER,,113.594,"serrer, serré/serrée (serrant)"
ajouter,VER,,113.19200000000001,"ajouter, ajouté/ajoutée (ajoutant)"
glisser,VER,,112.578,"glisser, glissé/glissée (glissant)"
maintenir,VER,,112.196,"maintenir, maintenu/maintenue (maintenant)"
rejoindre,VER,,112.108,"rejoindre, rejoint/rejointe (rejoignant)"
cesser,VER,,111.974,"cesser, cessé/cessée (cessant)"
lancer,VER,,111.16,"lancer, lancé/lancée (lançant)"
échapper,VER,,110.09799999999998,"échapper, échappé/échappée (échappant)"
