lemme,cgram,genre,freqlem,forms
faim,NOM,f,107.20400000000001,"faim, faims"
cuisine,NOM,f,106.916,"cuisine, cuisines"
boîte,NOM,f,106.906,"boîte, boîtes"
exemple,NOM,m,106.56800000000001,"exemple, exemples"
manière,NOM,f,106.494,"manière, manières"
grand,NOM,m,106.406,grand/grande grands/grandes
bonsoir,NOM,m,105.59399999999998,"bonsoir, bonsoirs"
joie,NOM,f,105.134,"joie, joies"
cour,NOM,f,103.136,cour
hôpital,NOM,m,101.862,"hôpital, hôpitaux"
con,NOM,m,101.168,con/conne cons/connes
secret,NOM,m,100.49799999999999,"secret, secrets"
ennemi,NOM,m,100.206,ennemi/ennemie ennemis/ennemies
client,NOM,m,99.892,client/cliente clients/clientes
prince,NOM,m,99.828,prince/princesse princes/princesses
visite,NOM,f,99.69800000000001,"visite, visites"
courant,NOM,m,98.84,"courant, courants"
réponse,NOM,f,98.208,"réponse, réponses"
trou,NOM,m,97.78399999999999,"trou, trous"
mouvement,NOM,m,97.386,"mouvement, mouvements"
gauche,NOM,,96.904,"gauche, gauches"
église,NOM,f,96.878,"église, églises"
haut,NOM,m,96.744,"haut, hauts"
époque,NOM,f,96.46799999999999,"époque, époques"
million,NOM,m,96.44,"million, millions"
présent,NOM,m,96.43599999999999,"présent, présents"
vin,NOM,m,96.304,"vin, vins"
cadeau,NOM,m,95.798,"cadeau, cadeaux"
honte,NOM,f,95.42,"honte, hontes"
pensée,NOM,f,95.342,"pensée, pensées"
erreur,NOM,f,95.326,"erreur, erreurs"
loi,NOM,f,94.992,"loi, lois"
dent,NOM,f,94.792,"dent, dents"
noir,NOM,m,94.606,noir/noire noirs/noires
retard,NOM,m,94.518,"retard, retards"
tante,NOM,f,93.32400000000001,"tante, tantes"
marche,NOM,f,93.09,"marche, marches"
moyen,NOM,m,92.894,"moyen, moyens"
soirée,NOM,f,92.098,"soirée, soirées"
bien,NOM,m,92.03999999999999,"bien, biens"
langue,NOM,f,91.97800000000001,"langue, langues"
oiseau,NOM,m,91.85400000000001,"oiseau, oiseaux"
équipe,NOM,f,91.71000000000001,"équipe, équipes"
seul,NOM,m,91.49799999999999,seul/seule seuls/seules
goût,NOM,m,91.49199999999999,"goût, goûts"
bas,NOM,m,91.012,bas
classe,NOM,f,90.962,"classe, classes"
gosse,NOM,,90.68,"gosse, gosses"
preuve,NOM,f,90.66,"preuve, preuves"
été,NOM,m,90.55,"été, étés"
ton,NOM,m,90.484,"ton, tons"
gouvernement,NOM,m,90.408,"gouvernement, gouvernements"
clé,NOM,f,90.31,"clé, clés"
départ,NOM,m,90.31,"départ, départs"
bon,NOM,m,89.77799999999999,"bon, bons"
français,NOM,m,89.53,français/française françaises
cri,NOM,m,89.512,"cri, cris"
appel,NOM,m,89.488,"appel, appels"
avenir,NOM,m,89.054,"avenir, avenirs"
passage,NOM,m,88.594,"passage, passages"
choix,NOM,m,88.57799999999999,choix
sol,NOM,m,88.438,"sol, sols"
poche,NOM,,88.30199999999999,"poche, poches"
front,NOM,m,88.266,"front, fronts"
contraire,NOM,m,87.682,"contraire, contraires"
intérêt,NOM,m,87.59800000000001,"intérêt, intérêts"
bête,NOM,f,87.54599999999999,"bête, bêtes"
message,NOM,m,87.294,"message, messages"
dollar,NOM,m,87.244,"dollar, dollars"
liberté,NOM,f,86.906,"liberté, libertés"
agent,NOM,m,86.44399999999999,agent/agente agents
camarade,NOM,,86.28200000000001,"camarade, camarades"
conseil,NOM,m,86.068,"conseil, conseils"
poste,NOM,,85.994,"poste, postes"
rire,NOM,m,85.516,"rire, rires"
appartement,NOM,m,85.50200000000001,"appartement, appartements"
cigarette,NOM,f,85.314,"cigarette, cigarettes"
ventre,NOM,m,84.93,"ventre, ventres"
professeur,NOM,,84.698,professeur/professeure professeurs
calme,NOM,m,84.416,"calme, calmes"
quartier,NOM,m,84.284,"quartier, quartiers"
passé,NOM,m,83.996,"passé, passés"
grand-père,NOM,m,83.98,"grand-père, grands-pères"
genou,NOM,m,83.708,"genou, genoux"
sécurité,NOM,f,83.55,"sécurité, sécurités"
compagnie,NOM,f,83.132,"compagnie, compagnies"
accident,NOM,m,82.84599999999999,"accident, accidents"
pain,NOM,m,82.71199999999999,"pain, pains"
avocat,NOM,m,82.66999999999999,avocat/avocate avocats/avocates
droite,NOM,f,82.408,"droite, droites"
douleur,NOM,f,82.28999999999999,"douleur, douleurs"
victime,NOM,f,82.238,"victime, victimes"
grand-mère,NOM,f,81.768,"grand-mère, grand-mères"
long,NOM,m,81.614,"long, longs"
colère,NOM,f,81.368,"colère, colères"
animal,NOM,m,81.356,"animal, animaux"
présence,NOM,f,81.23400000000001,"présence, présences"
colonel,NOM,m,81.032,colonel/colonelle colonels
mémoire,NOM,,80.874,"mémoire, mémoires"
larme,NOM,f,80.83,"larme, larmes"
dernier,NOM,m,80.76400000000001,dernier/dernière derniers/dernières
surprise,NOM,f,80.628,"surprise, surprises"
siècle,NOM,m,80.626,"siècle, siècles"
beauté,NOM,f,80.59200000000001,"beauté, beautés"
dîner,NOM,m,80.50200000000001,"dîner, dîners"
crime,NOM,m,80.47,"crime, crimes"
rôle,NOM,m,80.41199999999999,"rôle, rôles"
cousin,NOM,m,80.29400000000001,cousin/cousine cousins/cousines
art,NOM,m,80.27,"art, arts"
effort,NOM,m,80.268,"effort, efforts"
occasion,NOM,f,79.43,"occasion, occasions"
espoir,NOM,m,79.288,"espoir, espoirs"
escalier,NOM,m,78.914,"escalier, escaliers"
dimanche,NOM,m,78.84800000000001,"dimanche, dimanches"
fil,NOM,m,78.844,"fil, fils"
fou,NOM,m,78.82600000000001,fou/folle fous/folles
morceau,NOM,m,78.596,"morceau, morceaux"
hasard,NOM,m,78.518,"hasard, hasards"
île,NOM,f,78.306,"île, îles"
mètre,NOM,m,78.122,"mètre, mètres"
diable,NOM,m,77.924,"diable, diables"
bain,NOM,m,77.904,"bain, bains"
objet,NOM,m,77.292,"objet, objets"
lendemain,NOM,m,77.27799999999999,"lendemain, lendemains"
