lemme,cgram,genre,freqlem,forms
muet,ADJ,m,26.834000000000003,muet/muette muets/muettes
moderne,ADJ,,26.671999999999997,"moderne, modernes"
foutu,ADJ,m,26.642,foutu/foutue foutus/foutues
électrique,ADJ,,26.54,"électrique, électriques"
absurde,ADJ,,26.534,"absurde, absurdes"
semblable,ADJ,,26.522000000000002,"semblable, semblables"
magique,ADJ,,26.509999999999998,"magique, magiques"
marrant,ADJ,m,26.364,marrant/marrante marrants/marrantes
raisonnable,ADJ,,26.354,"raisonnable, raisonnables"
officiel,ADJ,m,25.952,officiel/officielle officiels/officielles
familier,ADJ,m,25.944,familier/familière familiers/familières
divin,ADJ,m,25.902,divin/divine divins/divines
désert,ADJ,m,25.840000000000003,désert/déserte déserts/désertes
central,ADJ,m,25.776,central/centrale centraux/centrales
aimable,ADJ,,25.75,"aimable, aimables"
urgent,ADJ,m,25.72,urgent/urgente urgents/urgentes
vierge,ADJ,,25.674,"vierge, vierges"
divers,ADJ,m,25.476000000000006,divers/diverse divers/diverses
extrême,ADJ,,25.464,"extrême, extrêmes"
habituel,ADJ,m,25.368000000000002,habituel/habituelle habituels/habituelles
douloureux,ADJ,m,25.296,douloureux/douloureuse douloureux/douloureuses
royal,ADJ,m,25.293999999999997,royal/royale royaux/royales
amusant,ADJ,m,25.156,amusant/amusante amusants/amusantes
exprès,ADJ,m,24.924,exprès/expresse exprès/expresses
physique,ADJ,,24.924,"physique, physiques"
continue,ADJ,f,24.653999999999996,continue
assis,ADJ,m,24.642000000000003,assis/assise assis/assises
doré,ADJ,m,24.586000000000002,doré/dorée dorés/dorées
armé,ADJ,m,24.35,armé/armée armés/armées
moche,ADJ,,24.346,"moche, moches"
âgé,ADJ,m,24.182,âgé/âgée âgés/âgées
populaire,ADJ,,24.116,"populaire, populaires"
fini,ADJ,m,24.112,fini/finie finis/finies
absolu,ADJ,m,24.106,absolu/absolue absolus/absolues
avant,ADJ,,24.064,avant
étonnant,ADJ,m,23.91,étonnant/étonnante étonnants/étonnantes
compliqué,ADJ,m,23.89,compliqué/compliquée compliqués/compliquées
las,ADJ,m,23.875999999999998,las/lasse las/lasses
direct,ADJ,m,23.810000000000002,direct/directe directs/directes
serré,ADJ,m,23.712,serré/serrée serrés/serrées
civil,ADJ,m,23.68,civil/civile civils/civiles
moral,ADJ,m,23.646,moral/morale moraux/morales
médical,ADJ,m,23.644,médical/médicale médicaux/médicales
prisonnier,ADJ,m,23.568,prisonnier/prisonnière prisonniers/prisonnières
ordinaire,ADJ,,23.518,"ordinaire, ordinaires"
généreux,ADJ,m,23.479999999999997,généreux/généreuse généreux/généreuses
sain,ADJ,m,23.438,"sain, sains"
intime,ADJ,,23.332,"intime, intimes"
féminin,ADJ,m,23.291999999999998,féminin/féminine féminins/féminines
marié,ADJ,m,22.985999999999997,marié/mariée mariés/mariées
glacé,ADJ,m,22.96,glacé/glacée glacés/glacées
chinois,ADJ,m,22.86,chinois/chinoise chinois/chinoises
discret,ADJ,m,22.582,discret/discrète discrets/discrètes
espagnol,ADJ,m,22.564,espagnol/espagnole espagnols/espagnoles
familial,ADJ,m,22.532000000000004,familial/familiale familiaux/familiales
mortel,ADJ,m,22.506,mortel/mortelle mortels/mortelles
fixe,ADJ,,22.484,"fixe, fixes"
lâche,ADJ,,22.433999999999997,"lâche, lâches"
franc,ADJ,m,22.382,franc/franche francs/franches
cassé,ADJ,m,22.378,cassé/cassée cassés/cassées
professionnel,ADJ,m,22.098,professionnel/professionnelle professionnels/professionnelles
ivre,ADJ,,22.072,"ivre, ivres"
courageux,ADJ,m,21.991999999999997,courageux/courageuse courageux/courageuses
laid,ADJ,m,21.852,laid/laide laids/laides
portable,ADJ,,21.736,"portable, portables"
régulier,ADJ,m,21.514000000000003,régulier/régulière réguliers/régulières
arrière,ADJ,,21.508,arrière
confus,ADJ,m,21.503999999999998,confus/confuse confus/confuses
fichu,ADJ,m,21.318,fichu/fichue fichus/fichues
mouillé,ADJ,m,21.156,mouillé/mouillée mouillés/mouillées
quotidien,ADJ,m,21.062,quotidien/quotidienne quotidiens/quotidiennes
endormi,ADJ,m,20.978,endormi/endormie endormis/endormies
enculé,ADJ,m,20.953999999999997,enculé/enculée enculés/enculées
absent,ADJ,m,20.866,absent/absente absents/absentes
préféré,ADJ,m,20.856,préféré/préférée préférés/préférées
tendu,ADJ,m,20.854,tendu/tendue tendus/tendues
brûlant,ADJ,m,20.8,brûlant/brûlante brûlants/brûlantes
sincère,ADJ,,20.706000000000003,"sincère, sincères"
connu,ADJ,m,20.574,connu/connue connus/connues
raide,ADJ,,20.412,"raide, raides"
fantastique,ADJ,,20.275999999999996,"fantastique, fantastiques"
tiède,ADJ,,20.201999999999998,"tiède, tièdes"
lumineux,ADJ,m,20.200000000000003,lumineux/lumineuse lumineux/lumineuses
vilain,ADJ,m,20.130000000000003,vilain/vilaine vilains/vilaines
brutal,ADJ,m,20.028000000000002,brutal/brutale brutaux/brutales
connard,ADJ,m,20.022,"connard, connards"
local,ADJ,m,20.002000000000002,local/locale locaux/locales
pourri,ADJ,m,19.990000000000002,pourri/pourrie pourris/pourries
international,ADJ,m,19.933999999999997,international/internationale internationaux/internationales
intact,ADJ,m,19.89,intact/intacte intacts/intactes
timide,ADJ,,19.872,"timide, timides"
gratuit,ADJ,m,19.811999999999998,gratuit/gratuite gratuits/gratuites
feu,ADJ,,19.810000000000002,feu/feue
chouette,ADJ,,19.774,"chouette, chouettes"
idéal,ADJ,m,19.650000000000002,idéal/idéale idéaux/idéales
roux,ADJ,m,19.476,roux/rousse roux/rousses
pénible,ADJ,,19.222,"pénible, pénibles"
amer,ADJ,m,19.192,amer/amère amers/amères
dit,ADJ,m,19.176,dit/dite dits/dites
paisible,ADJ,,19.098,"paisible, paisibles"
musical,ADJ,m,19.072,musical/musicale musicaux/musicales
grec,ADJ,m,19.068,grec/grecque grecs/grecques
modeste,ADJ,,19.060000000000002,"modeste, modestes"
religieux,ADJ,m,19.016,religieux/religieuse religieux/religieuses
dégueulasse,ADJ,,18.908,"dégueulasse, dégueulasses"
catholique,ADJ,,18.768,"catholique, catholiques"
adorable,ADJ,,18.758,"adorable, adorables"
solitaire,ADJ,,18.698,"solitaire, solitaires"
final,ADJ,m,18.676000000000002,final/finale finaux/finales
extérieur,ADJ,m,18.55,extérieur/extérieure extérieurs/extérieures
imbécile,ADJ,,18.351999999999997,"imbécile, imbéciles"
suprême,ADJ,,18.344,"suprême, suprêmes"
attentif,ADJ,m,18.292,attentif/attentive attentifs/attentives
blessé,ADJ,m,18.29,blessé/blessée blessés/blessées
nocturne,ADJ,,18.29,"nocturne, nocturnes"
suffisant,ADJ,m,18.131999999999998,suffisant/suffisante suffisants/suffisantes
exceptionnel,ADJ,m,18.036,exceptionnel/exceptionnelle exceptionnels/exceptionnelles
interminable,ADJ,,17.926000000000002,"interminable, interminables"
classique,ADJ,,17.752000000000002,"classique, classiques"
visible,ADJ,,17.631999999999998,"visible, visibles"
élégant,ADJ,m,17.618000000000002,élégant/élégante élégants/élégantes
romantique,ADJ,,17.596,"romantique, romantiques"
quelconque,ADJ,,17.588,"quelconque, quelconques"
ennuyeux,ADJ,m,17.576,ennuyeux/ennuyeuse ennuyeux/ennuyeuses
sévère,ADJ,,17.574,"sévère, sévères"
définitif,ADJ,m,17.51,définitif/définitive définitifs/définitives
chic,ADJ,,17.47,"chic, chics"
actuel,ADJ,m,17.188,actuel/actuelle actuels/actuelles
communiste,ADJ,,17.162,"communiste, communistes"
insupportable,ADJ,,17.148,"insupportable, insupportables"
misérable,ADJ,,17.084,"misérable, misérables"
occupé,ADJ,m,16.945999999999998,occupé/occupée occupés/occupées
géant,ADJ,m,16.914,géant/géante géants/géantes
récent,ADJ,m,16.832,récent/récente récents/récentes
surpris,ADJ,m,16.772,surpris/surprise surpris/surprises
sexy,ADJ,,16.694,sexy
aérien,ADJ,m,16.686,aérien/aérienne aériens/aériennes
injuste,ADJ,,16.664,"injuste, injustes"
patient,ADJ,m,16.568,patient/patiente patients/patientes
admirable,ADJ,,16.526,"admirable, admirables"
effrayant,ADJ,m,16.490000000000002,effrayant/effrayante effrayants/effrayantes
fatal,ADJ,m,16.366,fatal/fatale fatals/fatales
ennemi,ADJ,m,16.356,ennemi/ennemie ennemis/ennemies
infini,ADJ,m,16.338,infini/infinie infinis/infinies
tragique,ADJ,,16.278,"tragique, tragiques"
soviétique,ADJ,,16.244,"soviétique, soviétiques"
fabuleux,ADJ,m,16.204,fabuleux/fabuleuse fabuleux/fabuleuses
reconnaissant,ADJ,m,16.03,reconnaissant/reconnaissante reconnaissants/reconnaissantes
rude,ADJ,,16.03,"rude, rudes"
chrétien,ADJ,m,16.018,chrétien/chrétienne chrétiens/chrétiennes
grossier,ADJ,m,16.012,grossier/grossière grossiers/grossières
sympathique,ADJ,,15.954,"sympathique, sympathiques"
rempli,ADJ,m,15.94,rempli/remplie remplis/remplies
arabe,ADJ,,15.904,"arabe, arabes"
aigu,ADJ,m,15.884000000000002,aigu/aiguë aigus/aiguës
brusque,ADJ,,15.750000000000004,"brusque, brusques"
gamin,ADJ,m,15.722,gamin/gamine gamins/gamines
immédiat,ADJ,m,15.698,immédiat/immédiate immédiats/immédiates
banal,ADJ,m,15.684,banal/banale banals/banales
transparent,ADJ,m,15.612,transparent/transparente transparents/transparentes
lisse,ADJ,,15.52,"lisse, lisses"
pris,ADJ,m,15.496,pris/prise pris/prises
ultime,ADJ,,15.431999999999999,"ultime, ultimes"
mental,ADJ,m,15.43,mental/mentale mentaux/mentales
sinistre,ADJ,,15.314,"sinistre, sinistres"
romain,ADJ,m,15.232,romain/romaine romains/romaines
amical,ADJ,m,15.143999999999998,amical/amicale amicaux/amicales
essentiel,ADJ,m,15.125999999999998,essentiel/essentielle essentiels/essentielles
café,ADJ,,15.116000000000001,café
légitime,ADJ,,14.936,"légitime, légitimes"
conscient,ADJ,m,14.926,conscient/consciente conscients/conscientes
ravissant,ADJ,m,14.914,ravissant/ravissante ravissants/ravissantes
réfléchi,ADJ,m,14.844000000000001,réfléchi/réfléchie réfléchis/réfléchies
humble,ADJ,,14.838,"humble, humbles"
efficace,ADJ,,14.831999999999999,"efficace, efficaces"
coupé,ADJ,m,14.816,coupé/coupée coupés/coupées
correct,ADJ,m,14.815999999999999,correct/correcte corrects/correctes
criminel,ADJ,m,14.815999999999999,criminel/criminelle criminels/criminelles
mondial,ADJ,m,14.814,mondial/mondiale mondiaux/mondiales
