word,pos,definition
Inhalothérapie,n.f.,Traitement des fonctions cardio-respiratoires.
Initialer,vt.,Parapher.
"Intermodal, E, Aux",adj.,Relatif à plusieurs modes de transport.
Intrant,n.m. inf.,Donnée en entrée.
Ivressomètre,n.m.,Éthylotest.
Jarnigoine,n.f.,Intelligence.
"Jasant, E",adj.,Qui aime jaser.
Jaser,vt.,Raconter.
Jasette,n.f.,Causerie informelle.
Jello,n.m.,Gelée à saveur de fruits.
"Joual, E",n.m et adj.,"(pl. JOUALS, JOUAUX) Argot franco-anglais parlé au Québec."
Joujouthèque,n.f.,Ludothèque.
Jubilaire,n.,"Personne qui fête un jubilé, un anniversaire."
Kayakable,adj.,Où l'on peut faire du kayak.
Kiosque,n.m.,"Stand, notamment dans une exposition, une foire."
Laveuse,n.f.,Lave-linge.
Léotard,n.m.,Maillot de danse.
"Lettreur, Euse",n.,Graphiste spécialisé dans l'écriture des panneaux et des enseignes.
Lousse,adj.,"Non serré, lâche."
Lyrer,vi.,Pleurnicher longtemps sur le même ton.
"Magané, E",adj.,Fam. 1 - Détérioré; usé. 2 - Fatigué; épuisé; malade.
Maganer,vt.,"User, détériorer."
Magasiner,vt.,"Acheter au meilleur prix, en visitant plusieurs magasins."
"Magasineur, Euse",n.,Personne qui magasine.
"Malendurant, E",adj.,Impatient.
"Malengueulé, E",adj et n. fam.,Malappris.
"Malin, Igne",adj et n.,1 - Méchant; dangereux. 2 - Coléreux; irascible.
Malpèque,n.f.,Variété d'huîtres.
Malpropre,adj et n.,Qui manque de propreté; sale. - Qui manque de décence; obscène.
Marchette,n.f.,Siège roulant pour bébés.
Maskinongé,n.m.,Brochet.
Massothérapeute,n.,Professionnel paramédical exerçant la massothérapie.
Massothérapie,n.f.,Ensemble des traitements qui utilisent le massage à des fins thérapeutiques.
"Mêlant, E",adj.,Qui embrouille.
Mémérer,vi.,Bavarder.
Menterie,n.f.,Mensonge.
"Mentor, E",n.,"Personne expérimentée qui contribue, bénévolement ou non, au développement personnel ou professionnel d'un débutant."
Mentorat,n.m.,Aide apportée par un mentor.
"Mentoré, E",n.,Personne qui bénéficie de l'aide d'un mentor.
"Mésadapté, E",n. et adj.,Personne présentant des difficultés d'adaptation à son milieu; inadapté.
Microbrasserie,n.f.,Brasserie artisanale.
Millage,n.m.,Distance en milles.
Minoucher,vt.,Caresser.
Minoune,n.f.,Vieille voiture.
Mitan,n.m.,Milieu; centre : Le mitan du lit.
Mordée,n.f.,"Bouchée, morsure."
"Motivateur, Trice",adj et n.,"(Conférencier, animateur) qui motive."
Motomarine,n.f.,Scooter des mers.
Motoneige,n.f.,Petit véhicule à chenilles ayant des skis à l'avant.
Motton,n.m.,Grumeau.
Mousser,vt.,Promouvoir.
Nanane,n.m.,(= NANANNE) Bonbon. – Bonne chose destinée à amadouer.
Nananne,n.m.,(= NANANE) Bonbon. – Bonne chose destinée à amadouer.
Narcomane,n.,Toxicomane.
Niaisage,n.m.,"Perte de temps, flânerie."
Niaiser,vt.,Ridiculiser. - Faire l'idiot.
"Niaiseux, Euse",adj et n.,"Niais, sot."
"Nolisé, E",adj.,Affrété; loué.
"Nono, Nonote",adj et n. fam.,"Niais, imbécile."
Nordicité,n.f.,"Caractère nordique d'un lieu, d'une région."
Nouc,n.m.,"(Ou NOUCLE) En Acadie, noeud."
Nounoune,adj et n.f. fam.,Un peu niais.
"Obstineur, Euse",adj et n.,Qui s'obstine.
Oka,n.m.,"Fromage québécois à pâte ferme, proche du Port-Salut français."
