"Termes_Officialises",Type_Officialisation,"Domaines",Date_fiche,Date_officialisation,Definition,Equivalent_anglais,URL_fiche 
"école (n. f.)",recommandation,"éducation > établissement d'enseignement;administration publique",2005-07-01,1982-11-01,Établissement d'enseignement chargé d'offrir des services éducatifs.,school,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299037/ecole
"avionnerie (n. f.) [Québec/Canada]",recommandation,"aéronautique > construction aéronautique",2000-07-01,1986-04-01,Industrie de la construction aéronautique.,aircraft industry,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299038/avionnerie
"avionnerie (n. f.) [Québec/Canada]",recommandation,"aéronautique > construction aéronautique;entreprise > entreprise commerciale",2000-07-01,1986-04-01,"Entreprise, usine de construction aéronautique.",aircraft manufacturing plant,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299039/avionnerie
"motomarine (n. f.)",recommandation,"sport > sport nautique;sport > matériel sportif;loisir > loisir de plein air",2014-09-23,1998-09-01,"Véhicule nautique personnel, à une ou deux places, dont la position de conduite s'apparente à celle de la moto et qui permet de se déplacer rapidement sur l'eau.",personal watercraft,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299040/motomarine
"pelable (adj.)",recommandation,"industrie papetière > papier selon ses propriétés;industrie papetière > papier pour la construction",2000-07-01,1986-04-01,Se dit d'un papier peint qui s'enlève en détachant d'abord la couche extérieure de vinyle de son support de papier préencollé sur le mur.,strippable,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299041/pelable
"papier tue-mouches (n. m.)",recommandation,"industrie papetière > papier selon ses propriétés",2000-07-01,1979-12-01,"Ruban de papier imprégné d'une substance poisseuse, souvent empoisonnée, qui sert à engluer et à tuer les mouches.",flypaper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299042/papier-tue-mouches
"clause de disparité de traitement (n. f.)",recommandation,"travail > convention collective de travail;droit > droit du travail",2006-10-01,2000-06-01,"Clause d'une convention collective prévoyant une différence de traitement, généralement en fonction de la date d'embauche, entre salariés dont l'emploi, la formation et l'expérience sont équivalents.",orphan clause,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299043/clause-de-disparite-de-traitement
"personne morale de droit public (n. f.)",recommandation,"droit > droit administratif;droit > droit civil",2001-07-01,2000-06-01,"Personne morale qui, poursuivant un but d'intérêt général, est régie, sur des points essentiels de son fonctionnement, notamment sa composition, ses pouvoirs et les contrôles auxquels elle est soumise, par des règles de droit public.",public corporation,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299044/personne-morale-de-droit-public
"siège social (n. m.)",recommandation,"droit > droit civil",2012-05-10,2000-06-01,"Principal établissement d'une société ou d'une association, où sont concentrées ses activités juridiques, administratives et de direction.",head office,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299045/siege-social
"recours (n. m.)",recommandation,"droit",2002-04-01,2000-06-01,"Action qui permet au débiteur d'une obligation et, dans certains cas, au créancier, de se tourner vers un tiers pour lui faire supporter tout ou partie de l'obligation.",recourse,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299047/recours
"action récursoire (n. f.)",recommandation,"droit > droit civil",2001-07-01,2000-06-01,"Recours en justice exercé contre le véritable débiteur d'une obligation par celui qui est tenu de l'exécuter en tant que débiteur solidaire, garant ou responsable du fait d'autrui.",recourse action,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299048/action-recursoire
"société de personnes (n. f.)",recommandation,"droit > droit civil",2001-07-01,2000-06-01,"Société dont chaque associé a consenti à faire partie en considération de la personne de ses coassociés et dans laquelle tous les associés ou certains d'entre eux, selon le cas, sont indéfiniment responsables sur leur propre patrimoine des dettes de la société.",partnership,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299049/societe-de-personnes
"société de capitaux (n. f.)",recommandation,"droit > droit civil;entreprise > société anonyme",2009-01-15,2000-06-01,"Société dont la raison essentielle n'est pas la personnalité des associés mais le capital qu'ils apportent, leur responsabilité étant limitée à cet apport.",joint stock company,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299050/societe-de-capitaux
"personne morale de droit privé (n. f.)",recommandation,"droit > droit civil",2001-07-01,2000-06-01,Personne morale régie par le droit privé.,private corporation,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299051/personne-morale-de-droit-prive
"société (n. f.)",recommandation,"droit > droit civil",2010-04-09,2000-06-01,"Groupement de personnes qui, dans les conditions prévues par la loi, affectent à une entreprise commune des biens ou leur activité, en vue de partager le bénéfice pécuniaire qui pourra en résulter.",partnership,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299052/societe
"action en justice (n. f.)",recommandation,"droit > procédure",2005-06-01,2000-06-01,Droit d'agir en justice ouvert à certaines conditions à l'auteur d'une prétention pour qu'une juridiction statue sur celle-ci.,right of action,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299053/action-en-justice
"passible (adj.)",recommandation,"droit > droit pénal et criminel",2001-07-01,2000-06-01,"Qui tombe sous le coup d'une sanction ou d'une charge, spécialement d'une sanction pénale ou d'une charge fiscale.",liable,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299054/passible
"siège (n. m.)",recommandation,"droit > droit civil",2001-07-01,2000-06-01,"Lieu, unique ou principal, où est établi un organisme, une autorité.",head office,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299055/siege
"dessinateur judiciaire (n. m.)",recommandation,"journalisme;droit;appellation de personne",2001-07-01,2000-06-01,"Dessinateur dont la spécialité est de faire, généralement pour un journal, des croquis d'audiences judiciaires.",courtroom sketch artist,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299056/dessinateur-judiciaire
"papier à démaquiller (n. m.)",recommandation,"industrie papetière > papier sanitaire;cosmétologie > matériel de soins du visage",2000-07-01,1979-12-01,"Mouchoir de papier absorbant, souvent humide, servant à enlever du visage différents produits de maquillage.",facial cleansing tissue,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299057/papier-a-demaquiller
"papier-mouchoir (n. m.)",recommandation,"industrie papetière > papier sanitaire",2004-05-01,1979-12-01,Carré de papier très doux servant de mouchoir jetable.,facial tissue,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299058/papier-mouchoir
"papier hygiénique (n. m.)",recommandation,"industrie papetière > papier sanitaire",2000-07-01,1979-12-01,"Papier sanitaire absorbant utilisé dans les toilettes, vendu en rouleaux ou en paquets de feuilles enchevêtrées.",toilet paper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299060/papier-hygienique
"serviette hygiénique (n. f.)",recommandation,"industrie papetière > papier sanitaire",2000-07-01,1979-12-01,Bande de matière absorbante jetable que les femmes utilisent comme protection externe au moment des règles.,sanitary napkin,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299061/serviette-hygienique
"serviette de table en papier (n. f.)",recommandation,"industrie papetière > papier domestique;industrie papetière > papier sanitaire",2000-07-01,1979-12-01,Carré de papier utilisé pour s'essuyer les lèvres et les doigts durant le repas et à la fin.,paper napkin,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299062/serviette-de-table-en-papier
"essuie-tout (n. m.)",recommandation,"industrie papetière > papier domestique;industrie papetière > papier sanitaire",2004-05-01,1979-12-01,"Papier absorbant, vendu le plus souvent en rouleaux, servant à de multiples usages surtout domestiques et destiné à être jeté après usage.",paper towel ,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299063/essuie-tout
"déviation de voie (n. f.)",recommandation,"route > circulation routière",2001-07-01,2000-06-01,"Déviation qui demeure sur la même route ou aux abords de celle-ci et qui suit, sur une certaine distance, soit une voie de circulation ou une chaussée de sens contraire, soit l'accotement, soit un élargissement de voie ou une voie temporaire spécialement aménagée.",diversion,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299064/deviation-de-voie
"travaux routiers (n. m. pl.)",recommandation,"route > entretien de la route",2001-07-01,2000-06-01,"Travaux de réfection, d'entretien ou de construction de tout type de route ou d'éléments de celle-ci.",road work,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299065/travaux-routiers
"contournement (n. m.)",recommandation,"route > circulation routière",2001-07-01,2000-06-01,"Tronçon de route ou d'autoroute, généralement extérieur à une agglomération, destiné à absorber la circulation de transit.",bypass,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299066/contournement
"câblodistribution (n. f.)",recommandation,"télécommunication;télévision",2002-10-01,2000-06-01,"Système de télécommunication dans lequel les signaux émis, télévisuels ou autres, sont reçus, puis amplifiés et retransmis, par câble coaxial ou à fibres optiques, à un groupe d'abonnés répartis dans une zone.",cable television,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299067/cablodistribution
"déviation (n. f.)",recommandation,"route > circulation routière",2001-07-01,2000-06-01,"Itinéraire signalisé qui contourne un obstacle temporaire (par exemple, des travaux) et qui se rattache par ses extrémités au chemin direct ou habituel.",diversion,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299068/deviation
"détour (n. m.) [Québec/Canada]",recommandation,"route > circulation routière",2001-07-01,2000-06-01,Déviation qui oblige les usagers de la route à quitter le chemin direct ou le parcours habituel et à emprunter une ou plusieurs autres routes ou voies urbaines.,detour,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299069/detour
"patient (n. m.)",recommandation,"médecine;appellation de personne",2001-07-01,2000-06-01,"Personne qui a recours aux services médicaux ou paramédicaux, qu'elle soit malade ou non.",patient,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299070/patient
"stipuler (v.)",recommandation,"droit > droit civil",2001-07-01,1998-09-01,Prévoir expressément dans une convention.,stipulate,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299075/stipuler
"franchise (n. f.)",recommandation,"droit > droit commercial;commerce",2000-06-01,2000-06-01,"Droit d'exploiter une raison sociale ou une enseigne, une marque, un savoir-faire commercial, lequel est concédé à un franchisé par un franchiseur par contrat de franchisage.",franchise,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299076/franchise
"assurance de dommages (n. f.)",recommandation,"assurance > assurance de dommages",2005-02-01,2000-06-01,Branche d'assurance terrestre dont l'objet est de garantir l'assuré contre les conséquences d'un événement pouvant porter atteinte à son patrimoine.,general insurance,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299077/assurance-de-dommages
"expert en sinistres (n. m.)",recommandation,"assurance > sinistre d'assurance;appellation de personne > appellation d'emploi",2001-07-01,2000-06-01,"Personne chargée d'enquêter sur un sinistre, de constater les dommages en résultant, en vue d'en négocier le règlement pour le compte de l'assuré ou de l'assureur.",claim adjuster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299078/expert-en-sinistres
"dotation en personnel (n. f.) [Québec/Canada]",recommandation,"gestion > recrutement et engagement du personnel",2006-08-01,2000-06-01,Ensemble des actes administratifs relevant de la gestion du personnel et visant à fournir à une organisation le personnel dont elle a besoin à court et à long terme.,staffing,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299079/dotation-en-personnel
"pare-feu (n. m.);coupe-feu (n. m.)",recommandation,"informatique > sécurité informatique",2022-05-25,2022-05-14,"Système de sécurité conçu pour filtrer les flux de données entre un réseau et un autre réseau de confiance moindre, le plus souvent Internet, selon une politique d'accès préétablie.",firewall,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299082/pare-feu
"clause (n. f.)",recommandation,"droit",2001-07-01,1998-09-01,Disposition d'un acte unilatéral de nature privée ou d'une convention.,clause,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299083/clause
"dérogatoire (adj.)",recommandation,"droit",2001-07-01,1998-09-01,"Se dit d'une règle qui écarte, dans des limites déterminées, la règle normalement applicable, ou encore de la chose ou de la situation qui fait l'objet du régime d'exception.",overriding,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299084/derogatoire
"bureautique (n. f.)",recommandation,"informatique > bureautique",2005-10-01,1983-10-01,"Ensemble intégré de moyens et de procédures qui sont appliqués aux activités de bureau, notamment au traitement et à la communication de la parole, de l'écrit ou de l'image, et qui font appel aux techniques de l'électronique, de l'informatique, des télécommunications et de l'organisation administrative.",office automation,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299086/bureautique
"traitement de texte (n. m.)",recommandation,"informatique > traitement de texte",2002-03-01,1990-07-01,"Ensemble de techniques informatiques qui permettent la saisie, le stockage, la correction, la mise à jour et la mise en forme d'un texte en évitant la transcription manuelle des éléments déjà entrés.",word processing,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299087/traitement-de-texte
"déboguer (v.)",recommandation,"informatique > mise au point de programme en informatique",2001-10-31,1997-10-01,Éliminer les bogues d'un logiciel ou d'un matériel.,debug,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299088/deboguer
"calculette (n. f.)",recommandation,"bureau > matériel de bureau",1999-08-01,1983-10-01,"Calculatrice de taille réduite et à alimentation autonome, qui peut effectuer des opérations arithmétiques simples ou complexes.",pocket calculator,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299089/calculette
"éditique (n. f.)",recommandation,"informatique > application de l'informatique",2001-11-01,1988-10-01,"Méthode d'édition permettant de créer et de publier au moyen d'un micro-ordinateur, de progiciels, de logiciels spécialisés et d'une imprimante de qualité des documents comparables à ceux obtenus par photocomposition.",desktop publishing,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299090/editique
"bogue (n. m.)",recommandation,"informatique > mise au point de programme en informatique;informatique > jeu vidéo",2005-01-01,1997-10-01,Défaut de conception d'un logiciel ou d'un matériel se manifestant par des anomalies de fonctionnement.,bug,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299091/bogue
"heure-personne (n. f.)",recommandation,"comptabilité > comptabilité de gestion;travail > organisation du travail",2006-12-01,1982-08-01,"Unité de mesure correspondant au travail qui peut être accompli par une personne pendant une heure, par deux personnes pendant une demi-heure et ainsi de suite, et qui sert, dans le budget, à répartir les crédits affectés à la main-d'œuvre.",person-hour,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299102/heure-personne
"téléavertisseur (n. m.) [Québec/Canada]",recommandation,"télécommunication > communication sans fil",2003-08-01,1996-11-01,"Récepteur de poche qui permet à un abonné d'un service de radiomessagerie de recevoir des messages courts, peu importe le lieu où il se trouve, à l'intérieur d'une zone généralement circonscrite.",pager,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299107/teleavertisseur
"cassis (n. m.)",recommandation,"route > qualité de la chaussée",1999-12-01,1980-02-01,Dépression brusque se développant transversalement à la chaussée.,sudden sag,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299108/cassis
"route à chaussée unique (n. f.)",recommandation,"route",2000-11-01,1980-02-01,Route dont les différentes voies ne sont pas délimitées par un terre-plein ou un séparateur.,undivided road,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299110/route-a-chaussee-unique
"distance de visibilité d'arrêt (n. f.)",recommandation,"route > circulation routière",1999-11-01,1980-06-01,"À une vitesse donnée, distance nécessaire à un conducteur pour immobiliser son véhicule après avoir aperçu un obstacle sur la chaussée.",stopping sight distance,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299111/distance-de-visibilite-darret
"adresse de courrier électronique (n. f.)",recommandation,"informatique > Internet;informatique > messagerie électronique",2014-03-25,1998-01-01,Identifiant personnel d'un internaute grâce auquel il peut communiquer par courrier électronique avec d'autres internautes.,e-mail address,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299116/adresse-de-courrier-electronique
"courrier électronique (n. m.)",recommandation,"informatique > Internet;informatique > messagerie électronique",2012-12-14,1998-01-01,Service de correspondance qui permet l'échange de messages électroniques à travers un réseau informatique. ,electronic mail,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299117/courrier-electronique
"centre de jour (n. m.)",recommandation,"administration publique > sécurité sociale;médecine > établissement de santé",1999-10-01,1983-10-01,Service qui fait partie d'un établissement ou qui en relève et où l'on reçoit pendant la journée des personnes ayant besoin de soins ou de services sociaux.,day care centre,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299119/centre-de-jour
"hôpital de jour (n. m.)",recommandation,"administration publique > sécurité sociale;médecine > établissement de santé",1999-10-01,1983-10-01,Service d'un établissement hospitalier assurant dans la journée le traitement et la réadaptation de malades qui regagnent le soir leur foyer.,day hospital,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299120/hopital-de-jour
"équipe de soins primaires (n. f.)",recommandation,"administration publique > sécurité sociale;médecine > santé publique",1999-10-01,1982-03-01,"Groupe de personnes de professions diverses (médicales, paramédicales ou autres) qui dispensent, dans un cadre donné, des soins de santé généraux aux individus et aux familles.",primary health care team,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299121/equipe-de-soins-primaires
"client (n. m.);cliente (n. f.)",recommandation,"médecine;appellation de personne",1999-10-01,1980-10-01,Personne qui fait appel aux services rémunérés d'un spécialiste de la santé.,patient,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299122/client
"soins de santé primaires (n. m. pl.)",recommandation,"médecine > santé publique",1999-08-01,1981-07-01,"Soins généraux offerts à la population à un coût abordable au point d'entrée du réseau des services sanitaires, et comprenant des soins curatifs de base, des soins préventifs et des mesures éducatives essentielles.",primary health care,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299123/soins-de-sante-primaires
"médecin de premier recours (n. m. ou f.)",recommandation,"médecine;appellation de personne > appellation d'emploi",1999-10-01,1982-05-01,"Médecin, généraliste ou spécialiste, qui, le premier, voit une personne pour un problème donné, fait un bilan de son état et lui administre les soins appropriés, quitte à l'adresser à un confrère ou à une consœur si le cas ne relève pas de sa compétence.",primary care physician,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299126/medecin-de-premier-recours
"chambre à un lit (n. f.)",recommandation,"médecine > établissement de santé",1999-09-01,1983-10-01,"Pièce destinée à l'hébergement d'une seule personne, dans un établissement de santé.",private room,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299127/chambre-a-un-lit
"chambre à deux lits (n. f.)",recommandation,"médecine > établissement de santé",1999-08-01,1983-10-01,"Pièce destinée à l'hébergement de deux personnes, dans un établissement de santé.",semi-private room,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299128/chambre-a-deux-lits
"chambre à trois lits (n. f.)",recommandation,"médecine > établissement de santé",1999-08-01,1983-10-01,"Pièce destinée à l'hébergement de trois personnes, dans un établissement de santé.",three-bed room,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299129/chambre-a-trois-lits
"papier à stérilisation (n. m.)",recommandation,"industrie papetière > papier sanitaire;médecine > santé publique",1999-08-01,1979-12-01,Papier très résistant servant à emballer les instruments chirurgicaux avant de les mettre dans l'autoclave pour la stérilisation.,sterilizing paper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299130/papier-a-sterilisation
"ouate de cellulose (n. f.)",recommandation,"industrie papetière > papier sanitaire",1999-07-01,1979-12-01,"Succédané du coton, se diluant facilement dans l'eau, que l'on utilise pour des pansements ou des couches jetables.",cellulose wadding,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299131/ouate-de-cellulose
"physiatre (n. m. ou f.) [Québec/Canada]",recommandation,"médecine > rééducation et réadaptation fonctionnelles;appellation de personne > appellation d'emploi",2001-06-01,1995-12-01,"Médecin spécialiste qui voit au diagnostic, au traitement et à la prévention des douleurs et des troubles fonctionnels de l'appareil locomoteur causés par un accident, une maladie, une malformation congénitale ou une lésion d'origine sportive ou professionnelle.",physiatrist,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299132/physiatre
"physiatrie (n. f.) [Québec/Canada]",recommandation,"médecine > rééducation et réadaptation fonctionnelles",2002-03-01,1995-12-01,"Branche de la médecine qui diagnostique, prévient et traite les douleurs et les troubles de l'appareil locomoteur au moyen, entre autres, de la médication, d'infiltrations, d'orthèses, de la physiothérapie, de la chirurgie ou d'agents physiques.",physical medicine,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299133/physiatrie
"papier fumigatoire (n. m.)",recommandation,"industrie papetière > papier selon ses propriétés;médecine > santé publique",1999-08-01,1979-12-01,"Papier aromatique, imprégné d'une substance qui lui permet de brûler lentement, sans flamme, en dégageant un parfum caractéristique.",fumigating paper,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299134/papier-fumigatoire
"meuble-lavabo (n. m.)",recommandation,"mobilier > meuble de rangement",2001-08-01,1982-06-01,Meuble de salle de bains à hauteur de taille dans lequel est encastré un lavabo et sous lequel se trouve un espace de rangement fermé par des portes et pouvant comporter des tiroirs.,vanity,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299135/meuble-lavabo
"babillard électronique (n. m.)",recommandation,"informatique > Internet;informatique > application de l'informatique",2003-08-01,1998-01-01,"Service informatisé d'échange d'information géré par un organisme ou une entreprise, auquel on accède par modem, et qui permet aux utilisateurs d'afficher des messages et d'y répondre, d'échanger des fichiers, de communiquer avec des groupes thématiques et parfois de se connecter à Internet.",Bulletin Board System,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299142/babillard-electronique
"webmestre (n. m. ou f.)",recommandation,"informatique > Internet;appellation de personne > appellation d'emploi",2025-07-17,1998-01-01,"Personne dont la principale responsabilité est la maintenance d'un site Web et la bonne marche d'un serveur Web, et qui peut également être chargée de la mise à jour ou même de la création des documents Web diffusés par l'organisation à laquelle elle est rattachée.",webmaster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299143/webmestre
"gratuiciel (n. m.)",recommandation,"informatique > logiciel;informatique > Internet",2020-02-19,1998-01-01,"Logiciel sur lequel le programmeur conserve ses droits d'auteur, mais ne réclame pas de redevances, et qui peut donc être copié et distribué gratuitement.",freeware,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299144/gratuiciel
"partagiciel (n. m.)",recommandation,"informatique > logiciel",2020-02-24,1998-01-01,"Logiciel sur lequel le programmeur conserve ses droits d'auteur, qui est distribué gratuitement à l'essai et pour lequel on doit verser une certaine somme en cas d'utilisation durable.",shareware,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299145/partagiciel
"plugiciel (n. m.) [néologisme proposé à l'OQLF] [Québec/Canada]",recommandation,"informatique > logiciel",2021-03-06,2021-03-06,"Logiciel utilitaire qui, joint à un logiciel d'application, entre en action pour lui associer de nouvelles fonctions.",plug-in,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299146/plugiciel
"signet (n. m.)",recommandation,"informatique > Internet",2002-03-01,1998-01-01,"Référence à un site, à un document ou à une partie de document, qui est mise en mémoire par l'internaute et qui lui permet de retrouver facilement des données jugées intéressantes, lors d'une consultation ultérieure.",bookmark,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299147/signet
"navigateur Web (n. m.)",recommandation,"informatique > Internet",2004-10-31,1999-07-01,"Logiciel client capable d'exploiter les ressources hypertextes et hypermédias du Web ainsi que les ressources d'Internet dans son ensemble, qui permet donc la recherche d'information et l'accès à cette information.",Web browser,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299148/navigateur-web
"virement (n. m.)",recommandation,"finance > banque",2000-08-01,1998-01-01,Opération de transfert de fonds qui implique un prélèvement d'un compte et un dépôt dans un autre compte.,funds transfer,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299149/virement
"dépôt direct (n. m.) [Québec/Canada]",recommandation,"finance > banque;informatique > transfert électronique de fonds",2006-02-01,1998-01-01,"Dépôt d'une somme, effectué par virement, provenant de prestations, de salaires, de pensions, etc., dans le compte d'un bénéficiaire en vertu d'une entente conclue à cette fin entre les parties intéressées.",direct deposit,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299150/depot-direct
"chef (n. m.)",recommandation,"droit",1997-10-01,1997-10-01,"Élément distinct d'une demande en justice, d'un acte d'accusation, d'un jugement.",,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299162/chef
"coordination par réduction indirecte (n. f.)",recommandation,"assurance > régime de retraite;assurance > rente",1998-01-01,1980-10-01,"Mode de coordination prévoyant pour la tranche de salaire qui se situe en deçà d'une certaine limite, généralement le plafond d'un régime de retraite universel, une cotisation ou une rente qui est différente de celle qui est prévue pour la tranche de salaire supérieure.",formula integration method,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299178/coordination-par-reduction-indirecte
"participant actif (n. m.);participante active (n. f.)",recommandation,"assurance > régime de retraite;assurance > rente;appellation de personne > titre et fonction",1998-01-01,1981-10-01,Participant qui verse une cotisation ou pour lequel une cotisation est versée.,active participant,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299180/participant-actif
"régime salaires de carrière (n. m.)",recommandation,"assurance > régime de retraite;assurance > rente",1998-01-01,1988-10-01,Régime pourcentage-salaire dans lequel le salaire utilisé aux fins du calcul de la rente correspond au salaire attribué pour chacune des périodes de services validés.,career earnings pension plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299183/regime-salaires-de-carriere
"acquisition immédiate (n. f.)",recommandation,"assurance > régime de retraite;assurance > acquisition des droits à une rente",1998-01-01,1980-10-01,"Acquisition, dès l'adhésion d'un participant à un régime, des droits à retraite portés à son compte.",immediate vesting,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299185/acquisition-immediate
"acquisition graduelle (n. f.)",recommandation,"assurance > acquisition des droits à une rente",1998-01-01,1980-10-01,Acquisition progressive des droits à retraite portés au compte d'un participant à mesure qu'il satisfait à certaines conditions.,graded vesting,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299186/acquisition-graduelle
"assiette des cotisations (n. f.)",recommandation,"assurance > régime de retraite;assurance > rente",1998-01-01,1980-06-01,Base sur laquelle sont calculées les cotisations versées au titre d'un régime de retraite.,basis of contributions,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299187/assiette-des-cotisations
"régime de retraite universel (n. m.)",recommandation,"assurance > régime de retraite;assurance > rente",1998-01-01,1992-07-01,Régime de retraite établi par l'État à l'intention de l'ensemble de la population.,public pension plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1299188/regime-de-retraite-universel
