"Termes_Officialises",Type_Officialisation,"Domaines",Date_fiche,Date_officialisation,Definition,Equivalent_anglais,URL_fiche
"régime de retraite complémentaire (n. m.)",normalisation,"assurance > régime de retraite;assurance > rente",1998-01-01,1992-07-01,Régime de retraite particulier dont les prestations s'ajoutent à celles d'un régime de retraite universel.,supplemental pension plan,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198685/regime-de-retraite-complementaire
"barbue de rivière (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-11-14,1986-03-01,,channel catfish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198686/barbue-de-riviere
"merlu blanc (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-12,1990-07-01,,whiting,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198687/merlu-blanc
"huître creuse du Pacifique (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-30,1990-07-01,,Pacific oyster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198688/huitre-creuse-du-pacifique
"huître plate du Pacifique (n. f.)",normalisation,"zoologie > malacologie;alimentation > mollusque comestible",2012-07-30,1990-07-01,,Olympia oyster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198689/huitre-plate-du-pacifique
"autorité de la chose jugée (n. f.)",normalisation,"droit > droit judiciaire",2006-12-01,2000-12-01,"Qualité attribuée par la loi à toute décision juridictionnelle relativement à la contestation qu'elle tranche et qui empêche, sous réserve des voies de recours, que la même chose soit rejugée entre les mêmes parties dans un autre procès.",res judicata,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198690/autorite-de-la-chose-jugee
"force de chose jugée (n. f.)",normalisation,"droit > droit judiciaire",2001-03-31,2000-12-01,"État d'un jugement qui n'est susceptible d'aucun recours, ou qui ne l'est plus parce que les recours ont été épuisés ou que les délais pour les exercer sont expirés.",,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198691/force-de-chose-jugee
"appréciation (n. f.)",normalisation,"droit > droit judiciaire",2001-07-01,2000-12-01,"Mode de décision fondé sur la prise en considération de critères objectifs mais souples, et qui en conséquence laisse à l'autorité décisionnelle une certaine latitude.",discretion,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198692/appreciation
"adjudication (n. f.)",normalisation,"droit > droit administratif",2001-07-01,2000-12-01,Mode de passation des marchés publics consistant à mettre en concurrence plusieurs candidats et à attribuer le marché automatiquement à celui qui a fait la soumission la plus basse.,award of a public contract to the lowest bidder,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198693/adjudication
"adjudication (n. f.)",normalisation,"droit > droit civil",2001-07-01,2000-12-01,Attribution d'un bien meuble ou immeuble mis aux enchères à celui qui offre le prix le plus élevé.,fall of the hammer,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198694/adjudication
"déclaratoire (adj.)",normalisation,"droit",2001-07-01,2000-12-01,Qui a pour objet de déclarer ou de faire déclarer le droit.,declaratory,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198695/declaratoire
"disposition de dérogation (n. f.)",normalisation,"droit > droit public",2021-09-15,2000-12-01,"Disposition qui, dans une loi, en particulier dans la constitution d'un pays ou dans d'autres textes fondamentaux, prévoit les conditions dans lesquelles il est permis d'y déroger.",notwithstanding clause,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198696/disposition-de-derogation
"jugement sur le fond (n. m.)",normalisation,"droit > procédure",2001-07-01,2000-12-01,Jugement qui statue sur l'objet même du procès.,judgment on the merits,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198697/jugement-sur-le-fond
"personnalité juridique (n. f.)",normalisation,"droit > droit civil",2001-07-01,2000-12-01,Aptitude à être titulaire de droits et d'obligations. ,juridical personality,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198698/personnalite-juridique
"règlement intérieur (n. m.)",normalisation,"droit",2001-07-01,2000-12-01,"Acte juridique énonçant l'ensemble des règles de fonctionnement d'un organisme, d'un groupement.",rules of procedure,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198699/reglement-interieur
